Timestamp,Symbol,Bid_Price,Bid_Size,Offer_Price,Offer_Size,Best_Bid_Price,Best_Bid_Size,Best_Offer_Price,Best_Offer_Size,Participant_Timestamp
01-07-2020 10:00,AAPL,298.81,1,298.91,1,298.81,1,298.89,2,1.00E+14
01-07-2020 10:00,AAPL,298.91,3,299.03,1,298.99,1,299.03,1,1.00E+14
01-07-2020 10:00,AAPL,298.85,1,299.04,1,298.91,4,299.03,2,1.00E+14
01-07-2020 10:00,AAPL,298.82,1,299.01,1,298.91,2,299.01,1,1.00E+14
01-07-2020 10:00,AAPL,298.92,1,299.03,2,298.94,1,299.03,2,1.00E+14
01-07-2020 10:00,AAPL,299.03,1,299.12,11,299.03,1,299.1,19,1.00E+14
01-07-2020 10:00,AAPL,298.93,1,299.1,2,299.03,2,299.1,2,1.00E+14
01-07-2020 10:00,AAPL,299.24,1,299.27,3,299.24,1,299.25,6,1.00E+14
01-07-2020 10:00,AAPL,299.27,2,299.39,1,299.27,2,299.33,10,1.00E+14
01-07-2020 10:00,AAPL,299.16,2,299.21,1,299.16,2,299.21,1,1.00E+14
01-07-2020 10:00,AAPL,299.18,2,299.28,1,299.19,1,299.28,1,1.00E+14
01-07-2020 10:00,AAPL,299.17,2,302.46,30,299.17,2,299.22,2,1.00E+14
01-07-2020 10:00,AAPL,299.15,1,299.2,2,299.15,1,299.2,2,1.00E+14
01-07-2020 10:00,AAPL,299.14,2,299.21,1,299.14,2,299.17,2,1.00E+14
01-07-2020 10:00,AAPL,299.14,2,299.2,2,299.14,2,299.17,2,1.00E+14
01-07-2020 10:00,AAPL,299.14,2,299.22,3,299.15,1,299.22,3,1.00E+14
01-07-2020 10:00,AAPL,299.14,2,299.23,2,299.14,2,299.18,1,1.00E+14
01-07-2020 10:00,AAPL,299.12,3,299.22,1,299.14,2,299.22,1,1.00E+14
01-07-2020 10:00,AAPL,299.14,2,299.23,1,299.16,2,299.23,1,1.00E+14
01-07-2020 10:00,AAPL,299.13,1,299.19,1,299.15,1,299.19,1,1.00E+14
01-07-2020 10:00,AAPL,299.15,1,299.29,1,299.15,1,299.2,3,1.00E+14
01-07-2020 10:00,AAPL,299.15,1,299.27,1,299.15,1,299.2,4,1.00E+14
01-07-2020 10:00,AAPL,299.08,1,299.13,2,299.08,1,299.13,2,1.00E+14
01-07-2020 10:00,AAPL,299.1,1,299.18,6,299.1,1,299.18,6,1.00E+14
01-07-2020 10:00,AAPL,299.1,1,299.18,1,299.1,1,299.17,2,1.00E+14
01-07-2020 10:00,AAPL,299.08,3,299.17,1,299.09,2,299.17,1,1.00E+14
01-07-2020 10:00,AAPL,299.1,2,299.16,5,299.1,3,299.16,5,1.00E+14
01-07-2020 10:00,AAPL,299.08,1,299.16,5,299.1,1,299.16,5,1.00E+14
01-07-2020 10:00,AAPL,299.12,2,299.19,1,299.12,2,299.18,6,1.00E+14
01-07-2020 10:00,AAPL,299.12,4,299.2,2,299.14,1,299.18,1,1.00E+14
01-07-2020 10:00,AAPL,299.19,4,299.27,2,299.19,4,299.25,1,1.00E+14
01-07-2020 10:00,AAPL,299.21,2,299.28,1,299.21,2,299.26,1,1.00E+14
01-07-2020 10:00,AAPL,299.25,1,299.32,2,299.26,1,299.3,1,1.00E+14
01-07-2020 10:00,AAPL,299.27,3,299.35,1,299.27,3,299.32,2,1.00E+14
01-07-2020 10:00,AAPL,299.26,1,299.31,1,299.26,1,299.31,1,1.00E+14
01-07-2020 10:00,AAPL,299.29,1,299.35,1,299.3,2,299.35,1,1.00E+14
01-07-2020 10:00,AAPL,299.32,1,299.38,1,299.34,2,299.38,2,1.00E+14
01-07-2020 10:00,AAPL,299.34,1,299.4,6,299.34,1,299.36,2,1.00E+14
01-07-2020 10:00,AAPL,299.3,3,299.4,6,299.3,3,299.36,2,1.00E+14
01-07-2020 10:00,AAPL,299.24,1,299.31,1,299.26,1,299.31,1,1.00E+14
01-07-2020 10:00,AAPL,299.21,1,299.79,2,299.23,3,299.3,1,1.00E+14
01-07-2020 10:00,AAPL,299.26,2,299.34,1,299.27,1,299.34,1,1.00E+14
01-07-2020 10:00,AAPL,299.27,1,299.33,1,299.3,1,299.33,1,1.00E+14
01-07-2020 10:00,AAPL,299.24,1,299.31,2,299.27,1,299.31,2,1.00E+14
01-07-2020 10:00,AAPL,299.2,4,299.27,2,299.21,1,299.25,1,1.00E+14
01-07-2020 10:00,AAPL,298.82,1,299.73,1,299.21,1,299.24,1,1.00E+14
01-07-2020 10:00,AAPL,299.17,1,299.23,3,299.17,2,299.23,3,1.00E+14
01-07-2020 10:00,AAPL,299.12,3,299.19,1,299.12,3,299.18,2,1.00E+14
01-07-2020 10:00,AAPL,299.12,3,299.17,1,299.12,3,299.17,2,1.00E+14
01-07-2020 10:00,AAPL,299.18,2,299.24,1,299.18,2,299.23,1,1.00E+14
01-07-2020 10:00,AAPL,299.19,2,299.25,2,299.2,1,299.24,1,1.00E+14
01-07-2020 10:00,AAPL,299.17,1,299.22,1,299.18,6,299.22,1,1.00E+14
01-07-2020 10:00,AAPL,299.19,2,299.23,2,299.19,2,299.23,2,1.00E+14
01-07-2020 10:00,AAPL,299.17,1,299.23,1,299.18,6,299.22,2,1.00E+14
01-07-2020 10:00,AAPL,299.17,1,299.22,2,299.18,1,299.22,2,1.00E+14
01-07-2020 10:00,AAPL,299.12,1,299.73,1,299.12,1,299.15,3,1.00E+14
01-07-2020 10:00,AAPL,299.16,2,299.18,1,299.16,2,299.18,1,1.00E+14
01-07-2020 10:00,AAPL,299.12,2,299.47,1,299.13,1,299.18,2,1.00E+14
01-07-2020 10:01,AAPL,299.11,2,299.47,1,299.12,1,299.17,2,1.00E+14
01-07-2020 10:01,AAPL,299.12,1,299.17,1,299.12,1,299.17,2,1.00E+14
01-07-2020 10:01,AAPL,299.12,1,299.18,3,299.12,1,299.15,2,1.00E+14
01-07-2020 10:01,AAPL,299.11,2,299.47,1,299.12,2,299.16,1,1.00E+14
01-07-2020 10:01,AAPL,299.1,3,299.15,1,299.11,2,299.15,1,1.00E+14
01-07-2020 10:01,AAPL,299.09,2,299.14,1,299.09,2,299.12,1,1.00E+14
01-07-2020 10:01,AAPL,299.09,1,299.14,1,299.09,1,299.12,1,1.00E+14
01-07-2020 10:01,AAPL,299.03,1,299.08,1,299.03,2,299.06,2,1.00E+14
01-07-2020 10:01,AAPL,299.02,2,299.06,1,299.02,2,299.05,2,1.00E+14
01-07-2020 10:01,AAPL,299.03,2,299.09,2,299.03,3,299.09,2,1.00E+14
01-07-2020 10:01,AAPL,299.06,4,299.11,2,299.09,2,299.11,2,1.00E+14
01-07-2020 10:01,AAPL,299.1,1,299.13,1,299.1,1,299.12,2,1.00E+14
01-07-2020 10:01,AAPL,299.03,2,299.09,2,299.04,2,299.09,2,1.00E+14
01-07-2020 10:01,AAPL,299,4,299.03,1,299,4,299.02,1,1.00E+14
01-07-2020 10:01,AAPL,298.94,2,299.01,1,298.97,2,299.01,1,1.00E+14
01-07-2020 10:01,AAPL,298.91,3,299,2,298.93,5,298.99,5,1.00E+14
01-07-2020 10:01,AAPL,298.95,1,299.01,1,298.95,1,298.99,1,1.00E+14
01-07-2020 10:01,AAPL,298.99,2,299.42,1,298.99,2,299,3,1.00E+14
01-07-2020 10:01,AAPL,299,1,299.07,1,299.01,2,299.07,1,1.00E+14
01-07-2020 10:01,AAPL,299.01,1,299.08,1,299.03,2,299.07,1,1.00E+14
01-07-2020 10:01,AAPL,299.05,4,299.13,2,299.07,3,299.12,3,1.00E+14
01-07-2020 10:01,AAPL,299.09,1,299.16,1,299.1,2,299.14,2,1.00E+14
01-07-2020 10:01,AAPL,299.14,5,299.17,1,299.14,5,299.15,1,1.00E+14
01-07-2020 10:01,AAPL,299.14,7,299.2,2,299.14,7,299.18,2,1.00E+14
01-07-2020 10:01,AAPL,299.14,1,299.2,1,299.14,1,299.16,2,1.00E+14
01-07-2020 10:01,AAPL,299.08,4,299.14,2,299.12,3,299.14,2,1.00E+14
01-07-2020 10:01,AAPL,299.11,4,299.15,2,299.12,3,299.15,2,1.00E+14
01-07-2020 10:01,AAPL,299.09,2,299.16,2,299.09,2,299.15,2,1.00E+14
01-07-2020 10:01,AAPL,299.09,3,299.15,1,299.11,2,299.15,1,1.00E+14
01-07-2020 10:01,AAPL,299.09,2,299.15,2,299.1,2,299.15,2,1.00E+14
01-07-2020 10:01,AAPL,299.13,2,299.18,2,299.13,2,299.17,1,1.00E+14
01-07-2020 10:01,AAPL,299.15,3,299.21,2,299.15,3,299.19,2,1.00E+14
01-07-2020 10:01,AAPL,299.15,1,299.19,1,299.15,2,299.19,1,1.00E+14
01-07-2020 10:01,AAPL,299.2,2,299.25,1,299.2,2,299.25,3,1.00E+14
01-07-2020 10:01,AAPL,299.2,2,299.25,1,299.2,2,299.24,1,1.00E+14
01-07-2020 10:01,AAPL,299.19,1,299.26,1,299.19,1,299.24,4,1.00E+14
01-07-2020 10:01,AAPL,299.19,2,299.23,2,299.19,2,299.23,3,1.00E+14
01-07-2020 10:01,AAPL,299.19,4,299.24,1,299.22,1,299.24,1,1.00E+14
01-07-2020 10:01,AAPL,299.22,2,299.24,1,299.22,2,299.24,1,1.00E+14
01-07-2020 10:01,AAPL,299.2,2,299.24,2,299.22,2,299.24,2,1.00E+14
01-07-2020 10:01,AAPL,299.14,1,299.22,1,299.16,1,299.21,2,1.00E+14
01-07-2020 10:01,AAPL,299.11,2,299.16,4,299.11,2,299.14,1,1.00E+14
01-07-2020 10:01,AAPL,299.08,2,299.13,2,299.08,2,299.13,2,1.00E+14
01-07-2020 10:01,AAPL,299.08,2,299.13,2,299.08,2,299.13,2,1.00E+14
01-07-2020 10:01,AAPL,299.1,2,299.13,1,299.1,2,299.13,1,1.00E+14
01-07-2020 10:01,AAPL,299.07,2,299.16,2,299.1,2,299.13,1,1.00E+14
01-07-2020 10:01,AAPL,299.1,1,299.13,3,299.1,1,299.12,2,1.00E+14
01-07-2020 10:01,AAPL,299.05,4,299.1,2,299.05,4,299.1,2,1.00E+14
01-07-2020 10:01,AAPL,299.02,2,299.09,2,299.03,2,299.08,1,1.00E+14
01-07-2020 10:01,AAPL,299.03,1,299.07,1,299.04,2,299.07,1,1.00E+14
01-07-2020 10:01,AAPL,299.04,1,299.07,1,299.04,1,299.06,1,1.00E+14
01-07-2020 10:01,AAPL,298.99,2,299.04,3,299,3,299.04,3,1.00E+14
01-07-2020 10:01,AAPL,299,3,299.04,2,299.01,1,299.04,2,1.00E+14
01-07-2020 10:01,AAPL,299.07,2,299.55,1,299.07,2,299.1,1,1.00E+14
01-07-2020 10:01,AAPL,298.62,1,299.55,1,299.07,1,299.1,1,1.00E+14
01-07-2020 10:01,AAPL,299.03,2,299.1,2,299.05,1,299.1,2,1.00E+14
01-07-2020 10:01,AAPL,299.04,1,299.12,1,299.04,1,299.08,2,1.00E+14
01-07-2020 10:01,AAPL,299.03,4,299.09,1,299.05,2,299.09,1,1.00E+14
01-07-2020 10:01,AAPL,299.02,2,299.08,4,299.02,2,299.06,1,1.00E+14
01-07-2020 10:01,AAPL,299.01,1,299.06,1,299.01,1,299.06,3,1.00E+14
01-07-2020 10:02,AAPL,298.99,2,299.04,5,299,9,299.04,5,1.00E+14
01-07-2020 10:02,AAPL,299,1,299.04,1,299,1,299.04,2,1.00E+14
01-07-2020 10:02,AAPL,299.01,2,299.03,1,299.01,2,299.03,1,1.00E+14
01-07-2020 10:02,AAPL,299.04,1,299.06,1,299.04,1,299.06,1,1.00E+14
01-07-2020 10:02,AAPL,299.04,1,299.09,2,299.06,2,299.09,2,1.00E+14
